,Zone,Code with States/ UTs Name,Total household,Number of Districts,Number of Tehsils,Number of Gram Panchayat / Police Station,Number of Villages Rural,Number of Towns Urban,Total Number of Households Rural,Total Number of Households Urban,% of Households in Rural,% of Households in Urban
0,All India,,244921406,640,5989,296770,644648,4460,179787454,65133952,73.41%,26.59%
1,North Total,,13184604,75,350,27415,46757,476,9104338,4080266,69.05%,30.95%
2,North,01 - JAMMU & KASHMIR,2094081,22,82,5336,6584,86,1601606,492475,76.48%,23.52%
3,North,02 - HIMACHAL PRADESH,1427365,12,117,3211,20693,56,1263756,163609,88.54%,11.46%
4,North,03 - PUNJAB,5032199,20,77,12216,12645,155,3269467,1762732,64.97%,35.03%
5,North,06 - HARYANA,4630959,21,74,6652,6835,179,2969509,1661450,64.12%,35.88%
6,East Total,,56425418,111,1630,25137,169856,433,47307665,9117753,83.84%,16.16%
7,East,10 - BIHAR,20074242,38,534,9826,44935,138,17829066,2245176,88.82%,11.18%
8,East,19 - WEST BENGAL,20367144,19,360,3357,40895,147,15756750,4610394,77.36%,22.64%
9,East,20 - JHARKHAND,6041931,24,259,4574,32584,41,5044234,997697,83.49%,16.51%
10,East,21 - ODISHA,9942101,30,477,7380,51442,107,8677615,1264486,87.28%,12.72%
11,West Total,,48031550,96,837,55001,107516,662,31206237,16825313,64.97%,35.03%
12,West,08 - RAJASTHAN,13136591,33,244,12178,44785,189,10223073,2913518,77.82%,22.18%
13,West,24 - GUJARAT,11629409,26,225,13658,18403,195,6920473,4708936,59.51%,40.49%
14,West,27 - MAHARASHTRA,22962600,35,357,28788,43937,264,13841960,9120640,60.28%,39.72%
15,West,30 - GOA,302950,2,11,377,391,14,220731,82219,72.86%,27.14%
16,South Total,,58874180,99,1588,42238,75330,1302,39443917,19430263,67.00%,33.00%
17,South,28 - ANDHRA PRADESH,12270164,13,670,13061,17521,94,9344180,2925984,76.15%,23.85%
18,South,29 - KARNATAKA,13139063,30,180,6039,29490,220,8048664,5090399,61.26%,38.74%
19,South,32 - KERALA,7698556,14,63,1058,1459,95,6319215,1379341,82.08%,17.92%
20,South,33 - TAMILNADU,17521956,32,216,12603,16278,822,10088119,7433837,57.57%,42.43%
21,South,28 - TELANGANA,8244441,10,459,9477,10582,71,5643739,2600702,68.46%,31.54%
22,Central Total,,54883219,152,881,125570,199011,1319,43325279,11557940,78.94%,21.06%
23,Central,05 - UTTARAKHAND,1968773,13,78,15400,16827,75,1479742,489031,75.16%,24.84%
24,Central,09 - UTTAR PRADESH,32475784,71,312,75118,107040,650,26015592,6460192,80.11%,19.89%
25,Central,22 - CHHATTISGARH,5714798,18,149,10991,20133,189,4540999,1173799,79.46%,20.54%
26,Central,23 - MADHYA PRADESH,14723864,50,342,24061,55011,405,11288946,3434918,76.67%,23.33%
27,North Eastern Total,,9421847,86,645,21030,45173,224,8061458,1360389,85.56%,14.44%
28,North Eastern,11 - SIKKIM,120014,4,9,429,452,8,88723,31291,73.93%,26.07%
29,North Eastern,12 - ARUNACHAL PRADESH,260217,16,188,5191,5590,26,201842,58375,77.57%,22.43%
30,North Eastern,13 - NAGALAND,379164,11,114,1190,1435,19,284310,94854,74.98%,25.02%
31,North Eastern,14 - MANIPUR,578939,9,38,2534,2583,32,448163,130776,77.41%,22.59%
32,North Eastern,15 - MIZORAM,226147,8,29,682,830,23,111626,114521,49.36%,50.64%
33,North Eastern,16 - TRIPURA,875621,4,44,1109,900,16,697062,178559,79.61%,20.39%
34,North Eastern,17 - MEGHALAYA,554131,7,39,6406,6851,10,485897,68234,87.69%,12.31%
35,North Eastern,18 - ASSAM,6427614,27,184,3489,26532,90,5743835,683779,89.36%,10.64%
36,UT Total,,4100588,21,58,379,1005,44,1338560,2762028,32.64%,67.36%
37,UT,04 - CHANDIGARH,214233,1,1,10,10,1,15657,198576,7.31%,92.69%
38,UT,07 - NCT OF DELHI,3391313,9,27,226,222,33,1051097,2340216,30.99%,69.01%
39,UT,25 - DAMAN AND DIU,44968,2,2,10,23,2,31795,13173,70.71%,29.29%
40,UT,26 - DADRA & NAGAR HAVELI,66571,1,1,12,70,1,45352,21219,68.13%,31.87%
41,UT,31 - LAKSHADWEEP,10929,1,10,10,26,0,10929,0,100.00%,0.00%
42,UT,34 - PUDUCHERRY,279857,4,8,32,95,6,115249,164608,41.18%,58.82%
43,UT,35 - ANDAMAN & NICOBAR ISLANDS,92717,3,9,79,559,1,68481,24236,73.86%,26.14%
